domain,transfer_scope_norm,cookie_ownership_mixed,consent_mechanism,automated_decisions,cookies_total,cookies_3p_ratio,cookies_session_ratio,tracker_hit_ratio,req_3p_ratio,ok_cookie_ownership,ok_cookie_session_only,ok_consent_prior,ok_no_tracking_claim,possible_transfer_violation,matches,violations,unevaluable,compliance_score
castillodeniebla.gob.cl,,False,,False,12.0,0.333,0.0,0.505,0.872,,,,False,,0,1,4,0.0
desarrollosocialyfamilia.gob.cl,NONE,False,,False,95.0,0.758,0.137,0.814,0.814,,,,False,True,1,1,3,0.5
hacienda.gob.cl,NONE,False,,False,8.0,0.0,0.0,0.79,0.943,,,,False,True,1,1,3,0.5
investchile.gob.cl,NONE,False,,False,113.0,0.956,0.239,0.891,0.891,,,,False,True,1,1,3,0.5
lab.gob.cl,,False,,False,11.0,0.0,0.182,0.998,0.998,,,,False,,0,1,4,0.0
minmujeryeg.gob.cl,,False,,False,28.0,0.0,0.0,0.616,0.616,,,,False,,0,1,4,0.0
minrel.gob.cl,,False,,False,17.0,0.529,0.0,0.408,0.412,,,,False,,0,1,4,0.0
monumentos.gob.cl,,False,,False,8.0,0.0,0.0,0.638,0.638,,,,False,,0,1,4,0.0
mop.gob.cl,NONE,False,,False,8.0,0.0,0.0,0.559,0.559,,,,False,True,1,1,3,0.5
museoarqueologicolaserena.gob.cl,,False,,False,12.0,0.0,0.0,0.946,0.946,,,,False,,0,1,4,0.0
sfgp.gob.cl,,False,,False,20.0,0.4,0.0,0.736,0.845,,,,False,,0,1,4,0.0
superir.gob.cl,NONE,False,,False,84.0,0.857,0.107,0.883,0.883,,,,False,True,1,1,3,0.5
