domain,fp_detected,fp_methods_total,fp_canvas,fp_audioCtx,fp_rtc,fp_storage,status,http_status,load_time
scilly.gov.uk,0,0,0,0,0,0,OK,200,
www.pendle.gov.uk,1,1,0,0,0,1,OK,200,
www.lancaster.gov.uk,0,0,0,0,0,0,OK,200,
telford.gov.uk,1,1,0,0,0,1,OK,200,
truro.gov.uk,1,1,0,0,0,1,OK,200,
www.york.gov.uk,1,1,0,0,0,1,OK,200,
www.woking.gov.uk,1,1,0,0,0,1,OK,200,
elmbridge.gov.uk,1,1,0,0,0,1,OK,200,
www.brent.gov.uk,0,0,0,0,0,0,OK,200,
fenland.gov.uk,0,0,0,0,0,0,OK,200,
www.data.gov.uk,0,0,0,0,0,0,OK,200,
www.broxtowe.gov.uk,1,1,0,0,0,1,OK,200,
www.eden.gov.uk,0,0,0,0,0,0,OK,200,
judicialappointments.gov.uk,0,0,0,0,0,0,OK,200,
www.gov.uk,0,0,0,0,0,0,OK,200,
harpenden.gov.uk,1,1,0,0,0,1,OK,200,
publiccontractsscotland.gov.uk,0,0,0,0,0,0,OK,200,
preston.gov.uk,0,0,0,0,0,0,OK,200,
www.harrow.gov.uk,1,1,0,0,0,1,OK,200,
newforest.gov.uk,0,0,0,0,0,0,OK,200,
