domain,has_privacy,has_cookies,has_legal,has_data_prot,privacy_controller_present,dpo_contact_present,rights_sum,legal_bases_sum,retention_present,recipients_sum,transfer_scope,consent_mechanism,cookies_total,cookies_3p_ratio,cookies_session_ratio,tracker_hit_ratio,req_3p_ratio,req_3p_top,total_sec_headers,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,tls_version_max,tls_days_until_expiry,tls_cipher_fs_ratio,tls_cipher_weak_ratio,compliance_score,matches,violations,possible_transfer_violation,ok_cookie_ownership,ok_cookie_session_only,ok_consent_prior,ok_no_tracking_claim,rights_pct,security_score,security_score_pct
dhs.sa.gov.au,True,False,False,False,True,True,1,2,False,8,,,144,0.062,0.0,0.922,0.922,gstatic.com;google.com;translate.googleapis.com;googletagmanager.com;doubleclick.net,2,0,0,0,0,1,1,TLS_1_3,38.0,0.609,0.261,0.0,0,1,,,,,False,0.14285714285714285,2,0.3333333333333333
donotcall.gov.au,True,False,True,False,True,True,1,4,True,0,,,100,0.0,0.88,0.663,0.663,googletagmanager.com;fonts.googleapis.com;google-analytics.com,0,0,0,0,0,0,0,TLS_1_3,77.0,0.625,0.0,0.0,0,1,,,,,False,0.14285714285714285,0,0.0
exportfinance.gov.au,True,False,True,False,True,True,4,13,True,26,NONE,,331,0.725,0.142,0.967,0.991,olark.com;fontawesome.com;marketo.com;brightcove.com;googletagmanager.com,4,1,0,1,0,1,1,TLS_1_3,13.0,0.429,0.429,0.5,1,1,True,,,,False,0.5714285714285714,4,0.6666666666666666
fishing.tas.gov.au,False,False,False,True,False,True,0,0,True,1,,,27,0.667,0.037,0.923,0.923,gstatic.com;createsend1.com;translate.googleapis.com;google.com;jsdelivr.net,6,1,1,1,1,1,1,TLS_1_2,48.0,0.471,0.529,0.0,0,1,,,,,False,0.0,6,1.0
fpa.tas.gov.au,False,False,False,True,False,False,0,0,True,1,,,129,0.333,0.07,0.707,0.786,youtube.com;google-analytics.com;jquery.com;jsdelivr.net;stategrowth.tas.gov.au,2,0,0,0,0,1,1,TLS_1_3,86.0,0.609,0.261,0.0,0,1,,,,,False,0.0,2,0.3333333333333333
health.vic.gov.au,True,False,False,False,True,True,4,9,True,36,NONE,,14,0.0,0.071,0.528,0.604,googletagmanager.com;doubleclick.net;google.com;monsido.com;b-cdn.net,6,1,1,1,1,1,1,TLS_1_3,56.0,0.571,0.0,0.5,1,1,True,,,,False,0.5714285714285714,6,1.0
humanrights.gov.au,True,False,False,False,True,True,2,7,True,35,,,39,0.462,0.0,0.876,0.876,youtube.com;maps.googleapis.com;gstatic.com;jquery.com;addtoany.com,4,1,0,1,0,1,1,TLS_1_3,78.0,0.5,0.0,0.0,0,1,,,,,False,0.2857142857142857,4,0.6666666666666666
indigenous.gov.au,True,False,False,False,True,True,4,5,False,19,,,16,0.0,0.062,0.682,0.682,google-analytics.com;facebook.net;googletagmanager.com;fonts.googleapis.com;gstatic.com,3,1,0,0,0,1,1,TLS_1_3,156.0,0.438,0.375,0.0,0,1,,,,,False,0.5714285714285714,3,0.5
ipaustralia.gov.au,True,False,False,False,True,False,2,11,True,11,,,5,0.0,0.6,0.729,0.729,qualtrics.com;googletagmanager.com;siteimproveanalytics.io;siteimproveanalytics.com,1,1,0,0,0,0,0,TLS_1_3,78.0,0.667,0.0,0.0,0,1,,,,,False,0.2857142857142857,1,0.16666666666666666
justice.qld.gov.au,True,False,True,False,True,True,4,5,True,7,,,17,0.0,0.059,0.901,0.901,gstatic.com;google.com;ajax.googleapis.com;googletagmanager.com;bootstrapcdn.com,3,1,0,0,0,1,1,,0.0,0.0,0.0,0.0,0,1,,,,,False,0.5714285714285714,3,0.5
migration.sa.gov.au,True,False,True,False,True,True,0,1,True,2,,,46,0.391,0.196,0.86,0.864,vimeocdn.com;googletagmanager.com;vimeo.com;google-analytics.com;jsdelivr.net,2,0,0,0,0,1,1,TLS_1_3,33.0,0.556,0.0,0.0,0,1,,,,,False,0.0,2,0.3333333333333333
museumsvictoria.com.au,False,False,True,False,False,True,0,0,True,0,,,59,0.61,0.034,0.844,0.896,cloudflare.com;google.com;googletagmanager.com;doubleclick.net;jquery.com,3,1,0,0,0,1,1,TLS_1_3,69.0,0.609,0.261,0.0,0,1,,,,,False,0.0,3,0.5
parks.tas.gov.au,False,False,False,True,False,True,0,0,True,1,,,18,0.5,0.056,0.873,0.873,gstatic.com;google.com;translate.googleapis.com;jquery.com;jsdelivr.net,6,1,1,1,1,1,1,,0.0,0.0,0.0,0.0,0,1,,,,,False,0.0,6,1.0
police.sa.gov.au,True,False,False,False,True,False,0,1,True,2,,,204,0.926,0.044,0.952,0.952,youtube.com;doubleclick.net;google.com;jnn-pa.googleapis.com;googletagmanager.com,2,0,0,0,0,1,1,TLS_1_2,337.0,1.0,0.0,0.0,0,1,,,,,False,0.0,2,0.3333333333333333
productsafety.gov.au,True,True,False,False,True,True,3,10,True,17,,none,18,0.5,0.0,0.885,0.885,gstatic.com;translate.googleapis.com;monsido.com;google.com;google-analytics.com,3,1,0,0,0,1,1,TLS_1_3,39.0,0.429,0.0,,0,0,,,,,,0.42857142857142855,3,0.5
schoolbuses.wa.gov.au,True,False,True,False,False,True,0,0,True,0,,,183,0.0,0.94,0.658,0.658,gstatic.com;fonts.googleapis.com;googletagmanager.com;google-analytics.com;fontawesome.com,2,1,0,0,0,1,0,TLS_1_3,355.0,0.5,0.0,0.0,0,1,,,,,False,0.0,2,0.3333333333333333
